warm out;cold out;warm in;cold in
29906829759.6;34544581.2;128320120.8;2530399284.0
30182746917.6;34.276.708.800.000.000;118951768.8;15617852290.8
28698887898.0;32.011.142.400.000.000;80196055.2;16116637662.0
22503508081.2;53577237.6;6.166.719.360.000.000;17861590116.0
23806074826.8;49690062.0;30317331.6;20477982297.6
28954630263.6;11.440.800.000.000.000;39398965.2;19409220540.0
31.273.215.602.399.900;20998.8;46770512.4;2671477423.2
33572422713.6;13.233.232.799.999.900;164898673.2;1860400256.4
28727051216.4;31837132.8;214975184.4;11324274922.8
23665856756.4;46138388.4;174851524.8;11.356.271.143.199.900
22854223551.6;42.993.259.199.999.900;78565471.2;12.901.468.795.199.900
22.771.301.774.399.900;59652885.6;270819820.8;10892438438.4
16766100471.6;0.0;179454600.0;12869642772.0
22367725542.0;8305.2;128526861.6;1087854674.4
24251596581.6;11.518.658.280.000.000;226763784.0;1847597806.8
18693686599.2;171005572.8;215476272.0;13641614409.6
17848542844.8;185605642.8;89991925.2;16293046676.4
14489301787.2;157130020.8;66872923.2;18317449976.4
14924738325.6;171445190.4;32.897.325.599.999.900;19867171618.8
13551811380.0;0.0;2754849.6;23201404293.6
21600533782.8;3830.4;21612564.0;4924096628.4
19461877138.8;194923882.8;25.835.821.200.000.000;4780746561.6
14352162555.6;25.737.142.320.000.000;64789858.8;23407122999.6
11.881.651.597.199.900;322542828.0;73697767.2;19500460848.0
12768873447.6;313289794.8;37228312.8;20848715722.8
17.619.168.063.600.000;112470253.2;19717657.2;21471250230.0
17521502248.8;18828.0;24265105.2;22.495.534.959.600.000
17951684191.2;19.368.000.000.000.000;48957066.0;4385824776.0
18888669889.2;190023033.6;15.838.909.920.000.000;2878057944.0
13030661030.4;226000605.6;167529589.2;14.840.235.140.400.000
15043627958.4;197610807.6;335434780.8;9622950382.8
19000466712.0;209849166.0;198694846.8;13900024231.2
24218673397.2;8.750.441.160.000.000;127039946.4;14.985.547.714.800.000
25139857528.8;15318.0;182695190.4;13.986.912.805.199.900
30353023227.6;6534.0;10.453.380.839.999.900;2398990456.8
31149774813.6;54838018.8;99316137.6;2583503294.4
25528876318.8;72053496.0;99147747.6;17340985332.0
29846580764.4;53423884.8;37.853.434.800.000.000;21237690762.0
22093902054.0;9.505.900.439.999.990;55355853.6;21330505386.0
23939660800.8;64881680.4;99946807.2;16041238437.6
26206262985.6;17.607.600.000.000.000;110443950.0;17309261581.2
30009681118.8;12452.4;8.451.404.639.999.990;3228700010.4
25412295121.2;65056471.2;54948441.6;5980938883.2
17016381979.2;166381164.0;4.767.555.960.000.000;17105029236.0
15811186262.4;208904590.8;150037016.4;9899126683.2
12746133385.2;281728144.8;411203383.2;8319432330.0
13127192881.2;284060404.8;419168613.6;7.665.475.305.599.990
10639596398.4;0.0;567220248.0;6129045514.8
13505011556.4;0.0;285763384.8;1828927126.8
20135056226.4;262048539.6;314266460.4;1576505455.2
15502871574.0;32.700.677.040.000.000;12.416.820.516.000.000;6452677954.8
12610491336.0;349693988.4;1298714238.0;6758250843.6
9303807686.4;520450131.6;8.340.901.595.999.990;6208183612.8
8126066376.0;487935990.0;418541317.2;11324754666.0
7131614785.2;0.0;8.867.294.244.000.000;4367348438.4
13656235989.6;0.0;315985917.6;1323228826.8
15970949276.4;319553496.0;420736359.6;10.195.944.048.000.000
12574408860.0;339419653.2;1554483207.6;2818664424.0
10639191358.8;341801586.0;1285758288.0;3410338899.6
14457171085.2;221773186.8;1851406106.4;1288372993.2
17246157195.6;171534700.8;2564345505.6;3109796481.6
19729193486.4;20808.0;2181782322.0;1589861826.0
24990999836.4;13982.4;488273727.6;1952407951.2
23583316950.0;13.108.353.480.000.000;447510895.2;1298080738.8
21534525392.4;195150340.8;27.690.711.156.000.000;5.226.307.455.599.990
15.343.395.886.800.000;270647938.8;19.609.568.676.000.000;7965308872.8
14101075065.6;314550082.8;5.773.789.331.999.990;9649004371.2
13043998512.0;326417706.0;476575430.4;11791623758.4
11629525510.8;3524.4;394640654.4;10402508883.6
16.795.373.205.599.900;0.0;305436650.4;18.204.760.043.999.900
18953957696.4;302952114.0;288365572.8;2614378176.0
14005442203.2;385173169.2;425959758.0;13837591134.0
13346402641.2;345955190.4;310740170.4;6914882084.4
11194355743.2;521183329.2;584420666.4;4767121861.2
6218838028.8;1345741473.6;928692583.2;4988909311.2
2224041246.0;0.0;1194709676.4;3155304783.6
8934366510.0;0.0;792938214.0;120896679.6
12041623702.8;436795995.6;1293309871.2;7495.2
10008942717.6;584294698.8;5.819.400.147.599.990;798249189.6
8727194282.4;690077520.0;4387687300.8;1278315896.4
5.766.920.463.599.990;884872587.6;3826483930.8;20.147.495.651.999.900
5160765171.6;857331428.4;3520682863.2;24.842.290.032.000.000
1898106789.6;193651765.2;28.228.040.207.999.900;3452423421.6
4371416002.8;0.0;917116502.4;589432539.6
10135492668.0;606031765.2;1428170018.4;612765187.2
6556790217.6;693376149.6;4256852562.0;1965626139.6
5976480628.8;598360298.4;33.530.552.819.999.900;2339004650.4
5727696436.8;634047397.2;3282708405.6;1519997104.8
5851899918.0;6.938.660.231.999.990;3131651484.0;846368496.0
2028170451.6;6271.2;3463896074.4;991304578.8
4986621655.2;59545198.8;1488199183.2;3816.0
9961390710.0;1498631054.4;3316017661.2;4086.0
7673775408.0;551738700.0;6673992944.4;6254933814.0
8542342065.6;634913643.6;3640486773.6;5798807406.0
7154065609.2;695712427.2;2990070086.4;5802596978.4
6195947209.2;800650558.8;13.823.681.076.000.000;2805388754.4
2694961069.2;0.0;16.419.408.623.999.900;2241183528.0
6022146150.0;6066.0;834747858.0;137791296.0
10.670.624.017.199.900;679555890.0;2442109122.0;3542.4
5507572532.4;8.061.178.391.999.990;8857476100.8;568824372.0
4349586200.4;9.700.805.268.000.000;6372526438.8;570361064.4
4385327961.6;2799713476.8;3508363083.6;1517225497.2
34.028.626.247.999.900;4917055399.2;2722610412.0;1113644779.2
460312506.0;1344282829.2;4071684524.4;700231834.8
48.953.629.440.000.000;1441569682.8;1944330544.8;885.6
2937180762.0;7087206290.4;7165080561.6;4190.4
2878754828.4;1142961066.0;13948481170.8;48.605.623.920.000.000
3650009421.6;997593274.8;9294252584.4;549928720.8
38.976.315.947.999.900;1146301088.4;7.278.396.886.799.990;552708511.2
4104812260.8;8.158.863.528.000.000;5966281324.8;567720039.6
2266183519.2;5.695.200.000.000.000;7485487783.2;556274257.2
3120979694.4;42.673.946.040.000.000;5405110200.0;0.0
6274147078.8;4257080852.4;11965619646.0;0.0
3533001591.6;4103346744.0;16348186692.0;37.586.930.759.999.900
2185810520.4;7841848046.4;11353580164.8;468431064.0
1277365748.4;7569644068.8;8435106003.6;576241207.2
1122871971.6;9203495965.2;5399947854.0;5.989.777.991.999.990
304294539.6;1346263264.8;6568347074.4;548541007.2
413078302.8;709032600.0;3737308352.4;4428.0
3327302595.6;31.300.356.672.000.000;6204527229.6;741366.0
29.545.659.143.999.900;984149204.4;11.066.248.450.800.000;492524546.4
37.311.401.447.999.900;798510672.0;6402595982.4;548258486.4
5040027964.8;739020560.4;5083093648.8;707252180.4
5.203.933.149.599.990;797064908.4;6436167505.2;48.627.806.400.000.000
2435871398.4;2725.2;6.750.428.140.799.990;462432398.4
3847105530.0;17.028.000.000.000.000;2192486212.8;5450.4
7785862434.0;763035660.0;2510147941.2;20.091.600.000.000.000
4784908665.6;4764744604.8;8482802374.8;44.834.595.840.000.000
2511847540.8;7134782738.4;7492964918.4;523047348.0
1359461822.4;10174435455.6;9.528.527.257.199.990;411397855.2
364806223.2;13279014662.4;11980964444.4;384224472.0
70132924.8;2802776162.4;12141584442.0;25.375.814.999.999.900
49603532.4;2985880676.4;10846084485.6;0.0
18.522.637.920.000.000;10705941349.2;12.604.525.045.199.900;0.0
301197412.8;10353668464.8;10475194914.0;501700593.6
429151543.2;6.693.170.583.599.990;9330093226.8;403185967.2
927735638.4;6.649.717.593.599.990;7641022154.4;417977319.6
7.015.467.168.000.000;8046162093.6;8889632622.0;46.408.897.440.000.000
276924668.4;674040524.4;9893625699.6;388846162.8
702143352.0;13.760.036.279.999.900;11987567208.0;0.0
2934955674.0;1231523067.6;15389157668.4;0.0
36.633.415.103.999.900;8.961.498.215.999.990;15580115035.2;271019494.8
4082050530.0;9.353.939.075.999.990;10329132236.4;398116746.0
3973009010.4;845194791.6;12145400852.4;314598844.8
3438599828.4;1353639481.2;13369817926.8;273371187.6
1385188354.8;5724.0;12090889620.0;304362856.8
1794769117.2;29658844.8;11389547678.4;0.0
5216175183.6;2864983950.0;19401007125.6;0.0
3068016440.4;2298181586.4;18938803438.8;216517845.6
2330756172.0;2532198009.6;19832565164.4;104311486.8
2084058176.4;2607128384.4;21030167491.2;112261208.4
30.073.432.859.999.900;1030127068.8;22169227716.0;61844857.2
774526280.4;38281464.0;18431341351.2;12.899.572.560.000.000
878064382.8;253635811.2;17050283035.2;21852.0
5012339824.8;977727956.4;31165350037.2;21.279.600.000.000.000
36.048.657.492.000.000;1092927510.0;26751143970.0;53468946.0
3573360939.6;1397885752.8;22494039141.6;75897028.8
2547481359.6;2755488103.2;17446930185.6;11.964.582.719.999.900
1633589377.2;6526052272.8;16371015300.0;167473479.6
212600952.0;1779624014.4;20120742439.2;89106696.0
172597824.0;2161636452.0;22601262679.2;20948.4
332770446.0;13553746671.6;21649805859.6;35.856.000.000.000.000
11.107.582.560.000.000;14476026452.4;21.096.274.298.399.900;10.357.759.439.999.900
9.844.689.239.999.990;17457127761.6;13875182416.8;202485711.6
134826904.8;5513244692.4;14992104441.6;205626726.0
10.400.384.124.000.000;1900365699.6;18442931558.4;10.339.659.360.000.000
539547019.2;72489290.4;19059372586.8;104452682.4
318367036.8;1176118030.8;17610401721.6;9.194.400.000.000.000
1503036579.6;10358077064.4;21148534544.4;4.597.200.000.000.000
209851455.6;9694679788.8;26139597174.0;57562956.0
291799562.4;7.175.714.439.599.990;24315448860.0;67748533.2
493624634.4;2764993212.0;23854277512.8;53031232.8
1125723672.0;2276996043.6;24109987082.4;65.248.016.400.000.000
344062512.0;467154748.8;21818750450.4;60669756.0
351737532.0;1509274940.4;23865430464.0;20998.8
1502230528.8;5.192.587.101.599.990;23675709625.2;21877.2
1127732886.0;2320095301.2;21998516500.8;10.850.588.639.999.900
2029573612.8;1926021992.4;21685362350.4;116954665.2
1586519301.6;40.129.382.267.999.900;17827301959.2;143089268.4
1238711835.6;6029795491.2;20241475304.4;81795020.4
161450704.8;1924675599.6;19013573167.2;93178886.4
128320120.8;2530399284.0;18057039235.2;6163.2
118951768.8;15617852290.8;19200940185.6;17233.2
80196055.2;16116637662.0;20352051381.6;159213909.6
6.166.719.360.000.000;17861590116.0;328621500.0;0.0
30317331.6;20477982297.6;29906829759.6;34544581.2
39398965.2;19409220540.0;30182746917.6;34.276.708.800.000.000
46770512.4;2671477423.2;28698887898.0;32.011.142.400.000.000
164898673.2;1860400256.4;22503508081.2;53577237.6
214975184.4;11324274922.8;23806074826.8;49690062.0
174851524.8;11.356.271.143.199.900;28954630263.6;11.440.800.000.000.000
78565471.2;12.901.468.795.199.900;31.273.215.602.399.900;20998.8
270819820.8;10892438438.4;33572422713.6;13.233.232.799.999.900
179454600.0;12869642772.0;28727051216.4;31837132.8
128526861.6;1087854674.4;23665856756.4;46138388.4
226763784.0;1847597806.8;22854223551.6;42.993.259.199.999.900
215476272.0;13641614409.6;22.771.301.774.399.900;59652885.6
89991925.2;16293046676.4;16766100471.6;0.0
66872923.2;18317449976.4;22367725542.0;8305.2
32.897.325.599.999.900;19867171618.8;24251596581.6;11.518.658.280.000.000
2754849.6;23201404293.6;18693686599.2;171005572.8
21612564.0;4924096628.4;17848542844.8;185605642.8
25.835.821.200.000.000;4780746561.6;14489301787.2;157130020.8
64789858.8;23407122999.6;14924738325.6;171445190.4
73697767.2;19500460848.0;13551811380.0;0.0
37228312.8;20848715722.8;21600533782.8;3830.4
19717657.2;21471250230.0;19461877138.8;194923882.8
24265105.2;22.495.534.959.600.000;14352162555.6;25.737.142.320.000.000
48957066.0;4385824776.0;11.881.651.597.199.900;322542828.0
15.838.909.920.000.000;2878057944.0;12768873447.6;313289794.8
167529589.2;14.840.235.140.400.000;17.619.168.063.600.000;112470253.2
335434780.8;9622950382.8;17521502248.8;18828.0
198694846.8;13900024231.2;17951684191.2;19.368.000.000.000.000
127039946.4;14.985.547.714.800.000;18888669889.2;190023033.6
182695190.4;13.986.912.805.199.900;13030661030.4;226000605.6
10.453.380.839.999.900;2398990456.8;15043627958.4;197610807.6
99316137.6;2583503294.4;19000466712.0;209849166.0
99147747.6;17340985332.0;24218673397.2;8.750.441.160.000.000
37.853.434.800.000.000;21237690762.0;25139857528.8;15318.0
55355853.6;21330505386.0;30353023227.6;6534.0
99946807.2;16041238437.6;31149774813.6;54838018.8
110443950.0;17309261581.2;25528876318.8;72053496.0
8.451.404.639.999.990;3228700010.4;29846580764.4;53423884.8
54948441.6;5980938883.2;22093902054.0;9.505.900.439.999.990
4.767.555.960.000.000;17105029236.0;23939660800.8;64881680.4
150037016.4;9899126683.2;26206262985.6;17.607.600.000.000.000
411203383.2;8319432330.0;30009681118.8;12452.4
419168613.6;7.665.475.305.599.990;25412295121.2;65056471.2
567220248.0;6129045514.8;17016381979.2;166381164.0
285763384.8;1828927126.8;15811186262.4;208904590.8
314266460.4;1576505455.2;12746133385.2;281728144.8
12.416.820.516.000.000;6452677954.8;13127192881.2;284060404.8
1298714238.0;6758250843.6;10639596398.4;0.0
8.340.901.595.999.990;6208183612.8;13505011556.4;0.0
418541317.2;11324754666.0;20135056226.4;262048539.6
8.867.294.244.000.000;4367348438.4;15502871574.0;32.700.677.040.000.000
315985917.6;1323228826.8;12610491336.0;349693988.4
420736359.6;10.195.944.048.000.000;9303807686.4;520450131.6
1554483207.6;2818664424.0;8126066376.0;487935990.0
1285758288.0;3410338899.6;7131614785.2;0.0
1851406106.4;1288372993.2;13656235989.6;0.0
2564345505.6;3109796481.6;15970949276.4;319553496.0
2181782322.0;1589861826.0;12574408860.0;339419653.2
488273727.6;1952407951.2;10639191358.8;341801586.0
447510895.2;1298080738.8;14457171085.2;221773186.8
27.690.711.156.000.000;5.226.307.455.599.990;17246157195.6;171534700.8
19.609.568.676.000.000;7965308872.8;19729193486.4;20808.0
5.773.789.331.999.990;9649004371.2;24990999836.4;13982.4
476575430.4;11791623758.4;23583316950.0;13.108.353.480.000.000
394640654.4;10402508883.6;21534525392.4;195150340.8
305436650.4;18.204.760.043.999.900;15.343.395.886.800.000;270647938.8
288365572.8;2614378176.0;14101075065.6;314550082.8
425959758.0;13837591134.0;13043998512.0;326417706.0
310740170.4;6914882084.4;11629525510.8;3524.4
584420666.4;4767121861.2;16.795.373.205.599.900;0.0
928692583.2;4988909311.2;18953957696.4;302952114.0
1194709676.4;3155304783.6;14005442203.2;385173169.2
792938214.0;120896679.6;13346402641.2;345955190.4
1293309871.2;7495.2;11194355743.2;521183329.2
5.819.400.147.599.990;798249189.6;6218838028.8;1345741473.6
4387687300.8;1278315896.4;2224041246.0;0.0
3826483930.8;20.147.495.651.999.900;8934366510.0;0.0
3520682863.2;24.842.290.032.000.000;12041623702.8;436795995.6
28.228.040.207.999.900;3452423421.6;10008942717.6;584294698.8
917116502.4;589432539.6;8727194282.4;690077520.0
1428170018.4;612765187.2;5.766.920.463.599.990;884872587.6
4256852562.0;1965626139.6;5160765171.6;857331428.4
33.530.552.819.999.900;2339004650.4;1898106789.6;193651765.2
3282708405.6;1519997104.8;4371416002.8;0.0
3131651484.0;846368496.0;10135492668.0;606031765.2
3463896074.4;991304578.8;6556790217.6;693376149.6
1488199183.2;3816.0;5976480628.8;598360298.4
3316017661.2;4086.0;5727696436.8;634047397.2
6673992944.4;6254933814.0;5851899918.0;6.938.660.231.999.990
3640486773.6;5798807406.0;2028170451.6;6271.2
2990070086.4;5802596978.4;4986621655.2;59545198.8
13.823.681.076.000.000;2805388754.4;9961390710.0;1498631054.4
16.419.408.623.999.900;2241183528.0;7673775408.0;551738700.0
834747858.0;137791296.0;8542342065.6;634913643.6
2442109122.0;3542.4;7154065609.2;695712427.2
8857476100.8;568824372.0;6195947209.2;800650558.8
6372526438.8;570361064.4;2694961069.2;0.0
3508363083.6;1517225497.2;6022146150.0;6066.0
2722610412.0;1113644779.2;10.670.624.017.199.900;679555890.0
4071684524.4;700231834.8;5507572532.4;8.061.178.391.999.990
1944330544.8;885.6;4349586200.4;9.700.805.268.000.000
7165080561.6;4190.4;4385327961.6;2799713476.8
13948481170.8;48.605.623.920.000.000;34.028.626.247.999.900;4917055399.2
9294252584.4;549928720.8;460312506.0;1344282829.2
7.278.396.886.799.990;552708511.2;48.953.629.440.000.000;1441569682.8
5966281324.8;567720039.6;2937180762.0;7087206290.4
7485487783.2;556274257.2;2878754828.4;1142961066.0
5405110200.0;0.0;3650009421.6;997593274.8
11965619646.0;0.0;38.976.315.947.999.900;1146301088.4
16348186692.0;37.586.930.759.999.900;4104812260.8;8.158.863.528.000.000
11353580164.8;468431064.0;2266183519.2;5.695.200.000.000.000
8435106003.6;576241207.2;3120979694.4;42.673.946.040.000.000
5399947854.0;5.989.777.991.999.990;6274147078.8;4257080852.4
6568347074.4;548541007.2;3533001591.6;4103346744.0
3737308352.4;4428.0;2185810520.4;7841848046.4
6204527229.6;741366.0;1277365748.4;7569644068.8
11.066.248.450.800.000;492524546.4;1122871971.6;9203495965.2
6402595982.4;548258486.4;304294539.6;1346263264.8
5083093648.8;707252180.4;413078302.8;709032600.0
6436167505.2;48.627.806.400.000.000;3327302595.6;31.300.356.672.000.000
6.750.428.140.799.990;462432398.4;29.545.659.143.999.900;984149204.4
2192486212.8;5450.4;37.311.401.447.999.900;798510672.0
2510147941.2;20.091.600.000.000.000;5040027964.8;739020560.4
8482802374.8;44.834.595.840.000.000;5.203.933.149.599.990;797064908.4
7492964918.4;523047348.0;2435871398.4;2725.2
9.528.527.257.199.990;411397855.2;3847105530.0;17.028.000.000.000.000
11980964444.4;384224472.0;7785862434.0;763035660.0
12141584442.0;25.375.814.999.999.900;4784908665.6;4764744604.8
10846084485.6;0.0;2511847540.8;7134782738.4
12.604.525.045.199.900;0.0;1359461822.4;10174435455.6
10475194914.0;501700593.6;364806223.2;13279014662.4
9330093226.8;403185967.2;70132924.8;2802776162.4
7641022154.4;417977319.6;49603532.4;2985880676.4
8889632622.0;46.408.897.440.000.000;18.522.637.920.000.000;10705941349.2
9893625699.6;388846162.8;301197412.8;10353668464.8
11987567208.0;0.0;429151543.2;6.693.170.583.599.990
15389157668.4;0.0;927735638.4;6.649.717.593.599.990
15580115035.2;271019494.8;7.015.467.168.000.000;8046162093.6
10329132236.4;398116746.0;276924668.4;674040524.4
12145400852.4;314598844.8;702143352.0;13.760.036.279.999.900
13369817926.8;273371187.6;2934955674.0;1231523067.6
12090889620.0;304362856.8;36.633.415.103.999.900;8.961.498.215.999.990
11389547678.4;0.0;4082050530.0;9.353.939.075.999.990
19401007125.6;0.0;3973009010.4;845194791.6
18938803438.8;216517845.6;3438599828.4;1353639481.2
19832565164.4;104311486.8;1385188354.8;5724.0
21030167491.2;112261208.4;1794769117.2;29658844.8
22169227716.0;61844857.2;5216175183.6;2864983950.0
18431341351.2;12.899.572.560.000.000;3068016440.4;2298181586.4
17050283035.2;21852.0;2330756172.0;2532198009.6
31165350037.2;21.279.600.000.000.000;2084058176.4;2607128384.4
26751143970.0;53468946.0;30.073.432.859.999.900;1030127068.8
22494039141.6;75897028.8;774526280.4;38281464.0
17446930185.6;11.964.582.719.999.900;878064382.8;253635811.2
16371015300.0;167473479.6;5012339824.8;977727956.4
20120742439.2;89106696.0;36.048.657.492.000.000;1092927510.0
22601262679.2;20948.4;3573360939.6;1397885752.8
21649805859.6;35.856.000.000.000.000;2547481359.6;2755488103.2
21.096.274.298.399.900;10.357.759.439.999.900;1633589377.2;6526052272.8
13875182416.8;202485711.6;212600952.0;1779624014.4
14992104441.6;205626726.0;172597824.0;2161636452.0
18442931558.4;10.339.659.360.000.000;332770446.0;13553746671.6
19059372586.8;104452682.4;11.107.582.560.000.000;14476026452.4
17610401721.6;9.194.400.000.000.000;9.844.689.239.999.990;17457127761.6
21148534544.4;4.597.200.000.000.000;134826904.8;5513244692.4
26139597174.0;57562956.0;10.400.384.124.000.000;1900365699.6
24315448860.0;67748533.2;539547019.2;72489290.4
23854277512.8;53031232.8;318367036.8;1176118030.8
24109987082.4;65.248.016.400.000.000;1503036579.6;10358077064.4
21818750450.4;60669756.0;209851455.6;9694679788.8
23865430464.0;20998.8;291799562.4;7.175.714.439.599.990
23675709625.2;21877.2;493624634.4;2764993212.0
21998516500.8;10.850.588.639.999.900;1125723672.0;2276996043.6
21685362350.4;116954665.2;344062512.0;467154748.8
17827301959.2;143089268.4;351737532.0;1509274940.4
20241475304.4;81795020.4;1502230528.8;5.192.587.101.599.990
19013573167.2;93178886.4;1127732886.0;2320095301.2
18057039235.2;6163.2;2029573612.8;1926021992.4
19200940185.6;17233.2;1586519301.6;40.129.382.267.999.900
20352051381.6;159213909.6;1238711835.6;6029795491.2
328621500.0;0.0;161450704.8;1924675599.6
